id,question,intent,chart_type,table,dimension,metric_or_operation,filters,semantic_attributes
647,Cuántos cursos de práctica hay en los últimos ciclos de Enfermería,count,,malla_curricular,,COUNT,programa=Enfermeria&ciclo >= 7&tipo_curso=practica,[programa:Enfermeria][dimension:ciclo][filter:tipo_curso]
648,Cursos de formación general en los primeros ciclos de UPEU,list,,malla_curricular,,,ciclo <= 3&area_formacion=General,[institution:UPEU][dimension:ciclo][area:general]
649,Créditos de cursos de investigación por ciclo en toda la UPEU,aggregate,bar,malla_curricular,ciclo,SUM(creditos),area_formacion=Investigacion,[institution:UPEU][dimension:ciclo][area:investigacion][metric:creditos]
650,Distribución de electivos por ciclo en Ciencias de la Salud,count,bar,malla_curricular,ciclo,COUNT,facultad=Ciencias de la Salud&tipo_curso=electivo,[facultad:Salud][dimension:ciclo][filter:tipo_curso]
651,Cuántos cursos únicos hay en toda la UPEU,count,,silabos,,COUNT(DISTINCT curso),,[institution:UPEU][intent:count][entity:curso]
652,Programas que comparten el curso de Estadística,list,,malla_curricular,programa_estudio,,curso CONTAINS Estadistica,[filter:curso][intent:list][multi_programa]
653,Cuántos cursos distintos hay en Ciencias Empresariales,count,,malla_curricular,,COUNT(DISTINCT codigo_curso),facultad=Ciencias Empresariales,[facultad:Empresariales][intent:count][entity:curso]
654,Distribución de cursos únicos por sede en UPEU,count,bar,silabos,sede,COUNT(DISTINCT curso),,[institution:UPEU][dimension:sede][entity:curso]
655,Cursos que aparecen en más de 5 programas,list,,malla_curricular,curso,,,[filter:frecuencia][intent:list][entity:curso]
656,Cuántos códigos de curso distintos hay en la malla,count,,malla_curricular,,COUNT(DISTINCT codigo_curso),,[entity:codigo][intent:count]
657,Programas con más cursos compartidos entre sedes,ranking,horizontal_bar,malla_curricular,programa_estudio,COUNT(DISTINCT codigo_curso),,[multi_sede][intent:ranking][entity:curso]
658,Cuántos cursos de inglés hay en toda la UPEU,count,,silabos,,COUNT,curso CONTAINS ingles,[institution:UPEU][filter:curso][intent:count]
659,Asignaturas con mismo nombre en diferentes facultades,list,,silabos,curso,,,[comparative][intent:list][entity:curso]
660,Cuántos cursos de Sistemas son exclusivos de esa carrera,count,,malla_curricular,,COUNT,programa=Sistemas,[programa:Sistemas][entity:curso][intent:count]
661,Cuántos sílabos de Medicina Humana tienen evaluaciones de producto,count,,silabos,,COUNT,programa=Medicina&sumilla CONTAINS evaluacion,[programa:Medicina][entity:evaluacion][intent:count]
662,Cursos de Sistemas con evaluación de competencias,list,,silabos,,,programa=Sistemas&sumilla CONTAINS competencia,[programa:Sistemas][entity:evaluacion][filter:sumilla]
663,Distribución de tipos de evaluación por facultad,count,bar,silabos,facultad,COUNT,,[entity:evaluacion][dimension:facultad][intent:count]
664,Cuántos sílabos tienen evaluación de unidad definida,count,,silabos,,COUNT,ra_unitario IS NOT NULL,[entity:evaluacion][entity:ra_unitario][intent:count]
665,Cursos de Enfermería con evaluación práctica,list,,silabos,,,programa=Enfermeria&sumilla CONTAINS practica,[programa:Enfermeria][entity:evaluacion][filter:sumilla]
666,Cuántos cursos tienen rúbrica de evaluación definida,count,,silabos,,COUNT,sumilla CONTAINS rubrica,[entity:evaluacion][filter:sumilla][intent:count]
667,Cursos de Psicología con evaluación de competencias,list,,silabos,,,programa=Psicologia&sumilla CONTAINS competencia,[programa:Psicologia][entity:evaluacion][filter:sumilla]
668,Distribución de cursos con evaluación diagnóstica,count,bar,silabos,programa_estudio,COUNT,sumilla CONTAINS diagnostica,[entity:evaluacion][dimension:programa][intent:count]
669,Cuántos sílabos tienen cronograma de evaluaciones,count,,silabos,,COUNT,sumilla CONTAINS cronograma,[entity:evaluacion][filter:sumilla][intent:count]
670,Cursos de Administración con evaluación formativa,list,,silabos,,,programa=Administracion&sumilla CONTAINS formativa,[programa:Administracion][entity:evaluacion][filter:sumilla]
671,cuantos cursos hay sin hora de laboratorio en ingeniería,count,,malla_curricular,,COUNT,facultad=Ingenieria&horas_laboratorio=0,[facultad:Ingenieria][metric:horas_laboratorio][filter:zero]
672,dame el plan de teología en niania,list,,plan_estudios,,,programa=Teologia&sede=Ñaña,[programa:Teologia][sede:Ñaña][intent:list]
673,cuántos cursos de ciencias básicas tiene ingeniería civil,count,,malla_curricular,,COUNT,programa=Civil&area_formacion=Ciencias Basicas,[programa:Civil][area:ciencias_basicas][intent:count]
674,distribución de recursos de teología por tipo,count,pie,recurso_aprendizaje,tipo_recurso,COUNT,programa=Teologia,[programa:Teologia][entity:recurso][intent:chart]
675,cuantas evidencias tiene sistemas en c1 y c2,count,,sunedu_evidencia_curricular,,COUNT,programa=Sistemas,[programa:Sistemas][entity:sunedu][multi_formato]
676,cuántos libros en inglés hay en medicina,count,,recurso_aprendizaje,,COUNT,programa=Medicina&tipo_recurso=libro&idioma=ingles,[programa:Medicina][filter:idioma][filter:tipo]
677,muestrame los cursos de ciclo 1 de sistemas en lima,list,,malla_curricular,,,programa=Sistemas&ciclo=1&sede=Lima,[programa:Sistemas][ciclo:1][sede:Lima]
678,cuantos planes tienen grado de bachiller en upeu,count,,plan_estudios,,COUNT,grado_academico=bachiller,[institution:UPEU][filter:grado][intent:count]
679,distribución de tipos de recurso en salud,count,pie,recurso_aprendizaje,tipo_recurso,COUNT,facultad=Ciencias de la Salud,[facultad:Salud][entity:recurso][intent:chart]
680,cuántos cursos de administracion hay en tarapoto,count,,silabos,,COUNT,programa=Administracion&sede=Tarapoto,[programa:Administracion][sede:Tarapoto][intent:count]
681,Cuántos cursos de la UPEU tienen más de 2 horas de práctica,count,,malla_curricular,,COUNT,horas_practicas > 2,[institution:UPEU][metric:horas_practicas][filter:range][intent:count]
682,Recursos de bases de datos en Ingeniería de Sistemas,list,,recurso_aprendizaje,,,curso CONTAINS base de datos&programa=Sistemas,[programa:Sistemas][filter:curso][entity:recurso]
683,Cuántos programas de la UPEU tienen más de 8 ciclos,count,,plan_estudios,,COUNT,total_ciclos > 8,[institution:UPEU][metric:ciclos][filter:range]
684,Plan de estudios de Ingeniería Ambiental en Ñaña,list,,plan_estudios,,,programa=Ingenieria Ambiental&sede=Ñaña,[programa:Ambiental][sede:Ñaña][intent:list]
685,Cuántos recursos sin descripción hay en Psicología,count,,recurso_aprendizaje,,COUNT,programa=Psicologia&descripcion_recurso IS NULL,[programa:Psicologia][entity:recurso][filter:null]
686,Evidencias con observación registrada en Enfermería,list,,sunedu_evidencia_curricular,observacion,,programa=Enfermeria&observacion IS NOT NULL,[programa:Enfermeria][entity:sunedu][filter:observacion]
687,Cuántos cursos de Contabilidad tienen horas de laboratorio,count,,malla_curricular,,COUNT,programa=Contabilidad&horas_laboratorio > 0,[programa:Contabilidad][metric:horas_laboratorio][intent:count]
688,Recursos de Gestión de Empresas por unidad en Administración,list,,recurso_aprendizaje,unidad,,programa=Administracion&curso CONTAINS Gestion,[programa:Administracion][filter:curso][entity:unidad]
689,Cuántos ítems de SUNEDU tienen descripción de más de 100 caracteres,count,,sunedu_formato_item,,COUNT,LENGTH(descripcion_item) > 100,[entity:sunedu][filter:longitud][intent:count]
690,Distribución de planes por fundamento curricular en UPEU,count,bar,plan_estudios,fundamento_curricular,COUNT,,[institution:UPEU][entity:plan][dimension:fundamento][intent:count]
691,Cuántos sílabos de Medicina tienen sumilla de más de 200 caracteres,count,,silabos,,COUNT,programa=Medicina&LENGTH(sumilla) > 200,[programa:Medicina][entity:sumilla][filter:longitud]
692,Cursos de Arquitectura con recursos de diseño digital,list,,recurso_aprendizaje,,,programa=Arquitectura&palabras_clave CONTAINS diseño,[programa:Arquitectura][filter:palabras_clave][entity:recurso]
693,Cuántos planes de Educación están en proceso de renovación,count,,plan_estudios,,COUNT,facultad=Educacion&estado=renovacion,[facultad:Educacion][filter:estado][intent:count]
694,Evidencias de C1 sin fecha de registro en Lima,list,,sunedu_evidencia_curricular,,,codigo_formato=C1&sede=Lima&fecha_registro IS NULL,[entity:sunedu][filter:C1][sede:Lima][filter:null]
695,Cuántos recursos de Biología tienen URL activa,count,,recurso_aprendizaje,,COUNT,programa=Biologia&url_recurso IS NOT NULL,[programa:Biologia][entity:recurso][filter:url]
696,Distribución de cursos por área y sede en Ingeniería,chart,heatmap,malla_curricular,area_formacion-sede,COUNT,facultad=Ingenieria,[facultad:Ingenieria][intent:chart][chart:heatmap]
697,Cuántos planes de Administración tienen competencias de gestión,count,,plan_estudios,,COUNT,programa=Administracion&competencias_generales CONTAINS gestion,[programa:Administracion][entity:competencia][filter:contenido]
698,Recursos sin palabras clave registradas en Sistemas,count,,recurso_aprendizaje,,COUNT,programa=Sistemas&palabras_clave IS NULL,[programa:Sistemas][entity:recurso][filter:null]
699,Cuántos cursos de Farmacia tienen evaluación de laboratorio,count,,silabos,,COUNT,programa=Farmacia&sumilla CONTAINS laboratorio,[programa:Farmacia][entity:evaluacion][filter:sumilla]
700,Resumen completo de UPEU: cursos créditos programas y sedes,count,bar,silabos,sede,COUNT,,[institution:UPEU][resumen_general][multi_entity][multi_sede]
